"Season","Year","cumul.rain"
"wet",1985,822.100002288818
"dry",1985,123.410001754761
"wet",1986,768.600002288818
"dry",1986,125.840001106262
"wet",1987,801.640007019043
"dry",1987,184.580001831055
"wet",1988,737.439990997314
"dry",1988,179.3899974823
"wet",1989,609.849994659424
"dry",1989,177.000001907349
"wet",1990,960.780002593994
"dry",1990,119.199999094009
"wet",1991,780.860000610352
"dry",1991,169.149998664856
"wet",1992,476.630010604858
"dry",1992,166.43000125885
"wet",1993,660.350017547607
"dry",1993,133.400000333786
"wet",1994,673.549997329712
"dry",1994,205.650002479553
"wet",1995,788.679988861084
"dry",1995,207.559997558594
"wet",1996,570.170001983643
"dry",1996,176.749998092651
"wet",1997,526.640007019043
"dry",1997,152.460001945496
"wet",1998,1326.43001556396
"dry",1998,113.939997911453
"wet",1999,587.340000152588
"dry",1999,86.4300005435944
"wet",2000,491.799996852875
"dry",2000,122.489998817444
"wet",2001,837.639999389648
"dry",2001,178.289999008179
"wet",2002,844.580009460449
"dry",2002,127.659999847412
"wet",2003,800.000011444092
"dry",2003,134.349999427795
"wet",2004,587.240005493164
"dry",2004,111.369999408722
"wet",2005,818.169998168945
"dry",2005,126.350003242493
"wet",2006,664.290004730225
"dry",2006,144.489999771118
"wet",2007,865.389995574951
"dry",2007,246.500003814697
"wet",2008,606.889991760254
"dry",2008,266.100001335144
"wet",2009,525.380001068115
"dry",2009,168.31999874115
"wet",2010,850.560012817383
"dry",2010,194.820002555847
"wet",2011,658.369998931885
"dry",2011,314.660000801086
"wet",2012,734.159993171692
"dry",2012,302.55000269413
"wet",2013,781.839984893799
"dry",2013,125.210002422333
"wet",2014,578.789999008179
"dry",2014,226.540000915527
